available,available_for_checkin,date,max_nights,min_nights,listing_id,local_price,local_currency,month,ts
True,True,2018-11-09,1125,5,23930139,181,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-10,1125,5,23930139,177,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-11,1125,5,23930139,165,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-12,1125,5,23930139,167,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-13,1125,5,23930139,173,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-14,1125,5,23930139,177,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-15,1125,5,23930139,174,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-16,1125,5,23930139,168,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-17,1125,5,23930139,169,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-18,1125,5,23930139,165,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-19,1125,5,23930139,188,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-20,1125,5,23930139,212,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-21,1125,5,23930139,220,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-22,1125,5,23930139,221,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-23,1125,5,23930139,222,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-24,1125,5,23930139,197,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-25,1125,5,23930139,174,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-26,1125,5,23930139,179,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-27,1125,5,23930139,182,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-28,1125,5,23930139,183,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-29,1125,5,23930139,175,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-30,1125,5,23930139,177,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-12-01,1125,5,23930139,177,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-02,1125,5,23930139,167,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-03,1125,5,23930139,202,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-04,1125,5,23930139,206,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-05,1125,5,23930139,195,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-06,1125,5,23930139,190,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-07,1125,5,23930139,192,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-08,1125,5,23930139,184,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-09,1125,5,23930139,174,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-10,1125,5,23930139,185,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-11,1125,5,23930139,195,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-12,1125,5,23930139,195,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-13,1125,5,23930139,183,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-14,1125,5,23930139,190,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-15,1125,5,23930139,189,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-16,1125,5,23930139,178,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-17,1125,5,23930139,183,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-18,1125,5,23930139,193,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-19,1125,5,23930139,190,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-20,1125,5,23930139,183,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-21,1125,5,23930139,190,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-22,1125,5,23930139,201,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-23,1125,5,23930139,206,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-24,1125,5,23930139,220,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-25,1125,5,23930139,232,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-26,1125,5,23930139,229,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-27,1125,5,23930139,217,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-28,1125,5,23930139,209,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-29,1125,5,23930139,195,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-30,1125,5,23930139,185,USD,2018-12,2018-08-24 23:14:47.038061
True,True,2018-12-31,1125,5,23930139,212,USD,2018-12,2018-08-24 23:14:47.038061
True,,2019-01-01,1125,5,23930139,211,USD,2019-01,2018-08-24 23:14:47.038061
True,,2019-01-02,1125,5,23930139,196,USD,2019-01,2018-08-24 23:14:47.038061
True,,2019-01-03,1125,5,23930139,187,USD,2019-01,2018-08-24 23:14:47.038061
True,,2019-01-04,1125,5,23930139,176,USD,2019-01,2018-08-24 23:14:47.038061
True,,2019-01-05,1125,5,23930139,165,USD,2019-01,2018-08-24 23:14:47.038061
True,True,2018-07-01,1125,2,22880935,151,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-02,1125,2,22880935,99,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-03,1125,2,22880935,149,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-04,1125,2,22880935,129,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-05,1125,2,22880935,109,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-06,1125,2,22880935,151,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-07,1125,2,22880935,189,USD,2018-07,2018-08-24 23:14:47.038061
True,False,2018-07-08,1125,2,22880935,102,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-09,1125,2,22880935,120,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-10,1125,2,22880935,145,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-11,1125,2,22880935,139,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-12,1125,2,22880935,329,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-13,1125,2,22880935,659,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-14,1125,2,22880935,659,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-15,1125,2,22880935,309,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-16,1125,2,22880935,269,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-17,1125,2,22880935,209,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-18,1125,2,22880935,253,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-19,1125,2,22880935,319,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-20,1125,2,22880935,511,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-21,1125,2,22880935,511,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-22,1125,2,22880935,288,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-23,1125,2,22880935,262,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-24,1125,2,22880935,269,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-25,1125,2,22880935,269,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-26,1125,2,22880935,185,USD,2018-07,2018-08-24 23:14:47.038061
True,True,2018-07-27,1125,2,22880935,304,USD,2018-07,2018-08-24 23:14:47.038061
True,False,2018-07-28,1125,2,22880935,402,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-29,1125,2,22880935,243,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-30,1125,2,22880935,206,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-07-31,1125,2,22880935,206,USD,2018-07,2018-08-24 23:14:47.038061
False,False,2018-08-01,1125,2,22880935,197,USD,2018-08,2018-08-24 23:14:47.038061
True,False,2018-08-02,1125,2,22880935,501,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-03,1125,2,22880935,729,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-04,1125,2,22880935,489,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-05,1125,2,22880935,259,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-06,1125,2,22880935,199,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-07,1125,2,22880935,199,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-08,1125,2,22880935,219,USD,2018-08,2018-08-24 23:14:47.038061
True,False,2018-08-09,1125,2,22880935,182,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-10,1125,2,22880935,413,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-11,1125,2,22880935,629,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-12,1125,2,22880935,258,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-13,1125,2,22880935,178,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-14,1125,2,22880935,198,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-15,1125,2,22880935,198,USD,2018-08,2018-08-24 23:14:47.038061
False,False,2018-08-16,1125,2,22880935,232,USD,2018-08,2018-08-24 23:14:47.038061
True,True,2018-08-17,1125,2,22880935,242,USD,2018-08,2018-08-24 23:14:47.038061
True,True,2018-08-18,1125,2,22880935,363,USD,2018-08,2018-08-24 23:14:47.038061
